Rank Province City Score Level
1 Qinghai Hainan 4.04 Excellent
2 Sichuan Ganzi 4.11 Excellent
3 Sichuan Aba 4.42 Excellent
4 Qinghai Haibei 4.58 Excellent
5 Qinghai Guoluo 4.73 Excellent
6 Qinghai Yushu 4.91 Good
7 Sichuan Guangyuan 4.96 Good
8 Qinghai Huangnan 5.26 Good
9 Xinjiang Tacheng 5.62 Good
10 Sichuan Panzhihua 5.75 Good
11 Hunan Zhangjiajie 5.99 Good
12 Tibet Changdu 6.14 Good
13 Xinjiang Bo’ertala 6.19 Good
14 Xinjiang Yili 6.28 Good
15 Gansu Jiayuguan 6.66 Good
16 Sichuan Liangshan 6.72 Good
17 Guizhou Qiandongnan 6.74 Good
18 Xinjiang Akesu 6.85 Good
19 Xinjiang Changji 6.93 Good
20 Tibet Ali 7.05 Good
21 Sichuan Bazhong 7.20 Good
22 Hunan Chenzhou 7.20 Good
23 Tibet Linzhi 7.21 Good
24 Gansu Jinchang 7.21 Good
25 Guangdong Shaoguan 7.23 Good
26 Zhejiang Zhoushan 7.28 Good
27 Jiangxi Shangrao 7.29 Good
28 Gansu Jiuquan 7.29 Good
29 Guangdong Yunfu 7.36 Good
30 Guizhou Anshun 7.47 Good
31 Zhejiang Jinhua 7.48 Good
32 Yunnan Nujiang 7.51 Good
33 Yunnan Lijiang 7.57 Good
34 Gansu Longnan 7.59 Good
35 Gansu Gannan 7.60 Good
36 Shaanxi Hanzhong 7.81 Good
37 Sichuan Mianyang 7.81 Good
38 Sichuan Ya’an 7.82 Good
39 Yunnan Xishuangbanna 7.87 Good
40 Yunnan Lincang 7.96 Good
41 Sichuan Leshan 8.00 Good
42 Gansu Linxia 8.07 Good
43 Hubei Shennongjia 8.12 Good
44 Yunnan Baoshan 8.14 Good
45 Yunnan Dehong 8.18 Good
46 Guangdong Meizhou 8.19 Good
47 Tibet Naqu 8.26 Good
48 Yunnan Zhaotong 8.26 Good
49 Jiangxi Jingdezhen 8.26 Good
50 Guizhou Bijie 8.37 Good
51 Hunan Xiangxi 8.44 Good
52 Zhejiang Lishui 8.46 Good
53 Tibet Lasa 8.54 Good
54 Sichuan Nanchong 8.67 Good
