Rank Province City Score Level
1 青海 海南州 4.04 优
2 四川 甘孜 4.11 优
3 四川 阿坝 4.42 优
4 青海 海北 4.58 优
5 青海 果洛 4.73 优
6 青海 玉树 4.91 良
7 四川 广元 4.96 良
8 青海 黄南 5.26 良
9 新疆 塔城 5.62 良
10 四川 攀枝花 5.75 良
11 湖南 张家界 5.99 良
12 西藏 昌都 6.14 良
13 新疆 博尔塔拉 6.19 良
14 新疆 伊犁 6.28 良
15 甘肃 嘉峪关 6.66 良
16 四川 凉山 6.72 良
17 贵州 黔东南 6.74 良
18 新疆 阿克苏 6.85 良
19 新疆 昌吉 6.93 良
20 西藏 阿里 7.05 良
21 四川 巴中 7.20 良
22 湖南 郴州 7.20 良
23 西藏 林芝 7.21 良
24 甘肃 金昌 7.21 良
25 广东 韶关 7.23 良
26 浙江 舟山 7.28 良
27 江西 上饶 7.29 良
28 甘肃 酒泉 7.29 良
29 广东 云浮 7.36 良
30 贵州 安顺 7.47 良
31 浙江 金华 7.48 良
32 云南 怒江 7.51 良
33 云南 丽江 7.57 良
34 甘肃 陇南 7.59 良
35 甘肃 甘南 7.60 良
36 陕西 汉中 7.81 良
37 四川 绵阳 7.81 良
38 四川 雅安 7.82 良
39 云南 西双版纳 7.87 良
40 云南 临沧 7.96 良
41 四川 乐山 8.00 良
42 甘肃 临夏 8.07 良
43 湖北 神农架林区 8.12 良
44 云南 保山 8.14 良
45 云南 德宏 8.18 良
46 广东 梅州 8.19 良
47 西藏 那曲 8.26 良
48 云南 昭通 8.26 良
49 江西 景德镇 8.26 良
50 贵州 毕节 8.37 良
51 湖南 湘西 8.44 良
52 浙江 丽水 8.46 良
53 西藏 拉萨 8.54 良
54 四川 南充 8.67 良
55 云南 迪庆 8.67 良
56 陕西 商洛 8.69 良
57 贵州 黔南 8.74 良
58 西藏 山南 8.78 良
59 四川 宜宾 8.78 良
60 西藏 日喀则 8.94 良
61 贵州 铜仁 8.96 良
62 辽宁 丹东 8.97 良
63 云南 普洱 9.07 良
64 江西 鹰潭 9.08 良
65 福建 南平 9.27 良
66 贵州 黔西南 9.31 良
67 湖南 怀化 9.52 良
68 四川 广安 9.53 良
69 福建 厦门 9.55 良
70 浙江 衢州 9.57 良
71 湖南 湘潭 9.69 良
72 湖南 娄底 9.76 良
73 青海 西宁 9.83 良
74 新疆 乌鲁木齐 9.83 良
75 新疆 图木舒克 9.87 良
76 广西 崇左 9.97 良
77 贵州 遵义 10.01 良
78 湖北 咸宁 10.02 良
79 江西 吉安 10.02 良
80 新疆 吐鲁番 10.10 良
81 江西 九江 10.12 良
82 四川 德阳 10.14 良
83 广西 桂林 10.15 良
84 江西 宜春 10.18 良
85 安徽 宣城 10.19 良
86 湖南 岳阳 10.21 良
87 湖北 十堰 10.22 良
88 广西 梧州 10.22 良
89 云南 曲靖 10.23 良
90 湖南 永州 10.23 良
91 内蒙古 兴安盟 10.52 一般
92 湖南 株洲 10.55 一般
93 甘肃 定西 10.59 一般
94 青海 海东 10.62 一般
95 江西 萍乡 10.65 一般
96 湖南 邵阳 10.70 一般
97 广西 防城港 10.71 一般
98 新疆 克拉玛依 10.72 一般
99 江西 抚州 10.74 一般
100 新疆 阿拉尔 10.74 一般
101 黑龙江 大兴安岭 10.75 一般
102 陕西 宝鸡 10.77 一般
103 宁夏 石嘴山 10.80 一般
104 湖北 恩施 10.89 一般
105 安徽 黄山 10.89 一般
106 甘肃 武威 10.94 一般
107 吉林 白山 10.95 一般
108 云南 楚雄 10.95 一般
109 湖南 常德 10.95 一般
110 云南 文山 10.95 一般
111 福建 三明 10.96 一般
112 广东 肇庆 10.96 一般
113 陕西 安康 11.08 一般
114 湖南 衡阳 11.09 一般
115 四川 达州 11.20 一般
116 湖北 襄阳 11.23 一般
117 青海 海西 11.24 一般
118 福建 宁德 11.33 一般
119 新疆 五家渠 11.36 一般
120 贵州 六盘水 11.39 一般
121 四川 遂宁 11.41 一般
122 江苏 淮安 11.51 一般
123 新疆 和田 11.65 一般
124 新疆 哈密 11.78 一般
125 广东 汕尾 11.81 一般
126 广西 贵港 11.83 一般
127 湖北 仙桃 11.86 一般
128 内蒙古 阿拉善 11.89 一般
129 广西 南宁 11.89 一般
130 安徽 滁州 11.93 一般
131 河南 三门峡 11.99 一般
132 广东 河源 12.01 一般
133 安徽 铜陵 12.08 一般
134 湖南 长沙 12.11 一般
135 江西 赣州 12.20 一般
136 广西 河池 12.20 一般
137 河南 南阳 12.22 一般
138 广东 珠海 12.26 一般
139 福建 龙岩 12.30 一般
140 广东 阳江 12.34 一般
141 河北 承德 12.36 一般
142 广东 湛江 12.39 一般
143 安徽 六安 12.41 一般
144 山西 长治 12.57 一般
145 甘肃 张掖 12.65 一般
146 浙江 绍兴 12.66 一般
147 黑龙江 鹤岗 12.66 一般
148 吉林 延边 12.67 一般
149 四川 泸州 12.71 一般
150 广东 清远 12.71 一般
151 湖北 随州 12.75 一般
152 海南 五指山 12.77 一般
153 湖北 黄冈 12.81 一般
154 新疆 巴音郭楞 12.83 一般
155 浙江 台州 12.89 一般
156 山东 临沂 12.97 一般
157 内蒙古 乌海 13.00 一般
158 山西 忻州 13.01 一般
159 湖南 益阳 13.09 一般
160 河南 平顶山 13.10 一般
161 广西 来宾 13.19 一般
162 陕西 咸阳 13.20 一般
163 福建 福州 13.42 一般
164 江苏 宿迁 13.53 一般
165 吉林 通化 13.60 一般
166 河北 张家口 13.64 一般
167 山东 泰安 13.74 一般
168 福建 泉州 13.76 一般
169 安徽 芜湖 13.78 一般
170 湖北 宜昌 13.80 一般
171 江苏 徐州 13.81 一般
172 重庆 重庆 13.84 一般
173 甘肃 兰州 13.86 一般
174 河南 许昌 13.89 一般
175 湖北 天门 13.95 一般
176 湖北 潜江 13.96 一般
177 贵州 贵阳 14.02 一般
178 吉林 白城 14.11 一般
179 浙江 湖州 14.12 一般
180 四川 内江 14.23 一般
181 黑龙江 双鸭山 14.29 一般
182 广西 柳州 14.36 一般
183 海南 琼中 14.45 一般
184 福建 漳州 14.51 一般
185 山东 莱芜 14.51 一般
186 山东 济南 14.51 一般
187 四川 成都 14.62 一般
188 四川 自贡 14.66 一般
189 广西 玉林 14.74 一般
190 河南 漯河 14.74 一般
191 江苏 南京 14.81 一般
192 浙江 温州 15.00 一般
193 福建 莆田 15.01 一般
194 辽宁 朝阳 15.01 一般
195 海南 保亭 15.02 一般
196 湖北 黄石 15.04 一般
197 安徽 安庆 15.08 一般
198 宁夏 银川 15.19 一般
199 江苏 镇江 15.22 一般
200 山东 济宁 15.27 一般
201 湖北 鄂州 15.34 一般
202 江西 新余 15.44 一般
203 广西 百色 15.45 一般
204 广西 贺州 15.52 一般
205 河南 焦作 15.70 一般
206 湖北 孝感 15.72 一般
207 黑龙江 鸡西 15.81 一般
208 内蒙古 巴彦淖尔 15.83 一般
209 辽宁 本溪 15.92 一般
210 海南 东方 16.10 一般
211 安徽 淮南 16.21 一般
212 河北 秦皇岛 16.21 一般
213 吉林 松原 16.26 一般
214 甘肃 平凉 16.33 一般
215 陕西 榆林 16.34 一般
216 四川 眉山 16.38 一般
217 江西 南昌 16.45 一般
218 河南 郑州 16.45 一般
