s41,province_full,province,province_en
1,上海市,上海,Shanghai
2,云南省,云南,Yunnan
3,内蒙古自治区,内蒙古,Inner Mongolia
4,北京市,北京,Beijing
5,吉林省,吉林,Jilin
6,四川省,四川,Sichuan
7,天津市,天津,Tianjin
8,宁夏回族自治区,宁夏,Ningxia
9,安徽省,安徽,Anhui
10,山东省,山东,Shandong
11,山西省,山西,Shanxi
12,广东省,广东,Guangdong
13,广西壮族自治区,广西,Guangxi
14,新疆维吾尔自治区,新疆,Xinjiang
15,江苏省,江苏,Jiangsu
16,江西省,江西,Jiangxi
17,河北省,河北,Hebei
18,河南省,河南,Henan
19,浙江省,浙江,Zhejiang
20,海南省,海南,Hainan
21,湖北省,湖北,Hubei
22,湖南省,湖南,Hunan
23,甘肃省,甘肃,Gansu
24,福建省,福建,Fujian
25,西藏自治区,西藏,Tibet
26,贵州省,贵州,Guizhou
27,辽宁省,辽宁,Liaoning
28,重庆市,重庆,Chongqing
29,陕西省,陕西,Shaanxi
30,青海省,青海,Qinghai
31,黑龙江省,黑龙江,Heilongjiang
