,Score,Score,Score,Score,Score,Score,Score,Score
,count,mean,std,min,25%,50%,75%,max
Province,,,,,,,,
上海,1.0,21.4,,21.4,21.4,21.4,21.4,21.4
云南,16.0,11.520625,5.061611691612334,7.51,8.095,8.870000000000001,12.779999999999998,21.43
内蒙古,12.0,21.08083333333333,9.965850288344543,10.52,15.1225,17.314999999999998,25.7525,40.81
北京,1.0,18.6,,18.6,18.6,18.6,18.6,18.6
吉林,9.0,19.92,8.76647876858206,10.95,13.6,16.26,24.74,34.59
四川,21.0,10.035714285714286,4.430558171865675,4.11,7.2,8.78,12.71,21.63
天津,1.0,23.63,,23.63,23.63,23.63,23.63,23.63
宁夏,5.0,17.93,6.721893334470579,10.8,15.19,16.53,18.23,28.9
安徽,16.0,16.9775,5.069435866050581,10.19,12.3275,16.78,20.4075,25.71
山东,17.0,21.858823529411765,6.244903804656382,12.97,15.27,22.28,27.03,32.91
山西,11.0,23.31,7.832850056014095,12.57,20.325,23.12,26.270000000000003,41.92
广东,21.0,18.218095238095238,8.71375844228403,7.23,12.01,18.85,23.12,39.42
广西,14.0,13.372142857142858,2.9001622728377128,9.97,10.99,12.695,15.272499999999999,18.82
新疆,18.0,11.363888888888887,4.633683757379079,5.62,7.654999999999999,10.73,12.5675,23.1
江苏,13.0,18.369230769230768,4.2467094350380306,11.51,14.81,18.88,21.13,24.85
江西,11.0,10.94818181818182,2.7996779035518284,7.29,9.55,10.18,11.469999999999999,16.45
河北,11.0,23.132727272727273,8.231019488385495,12.36,17.89,21.48,28.785,38.54
河南,18.0,16.965555555555554,3.1723997638125474,11.99,14.98,16.915,18.4925,24.34
浙江,11.0,12.91818181818182,4.294428525850251,7.28,9.015,12.89,16.060000000000002,19.09
海南,20.0,22.8815,6.168369463813371,12.77,18.2975,23.465000000000003,27.225,35.01
湖北,17.0,14.098823529411767,4.089764483367198,8.12,11.23,13.8,15.34,23.97
湖南,14.0,9.96642857142857,1.8334985773016113,5.99,9.5625,10.22,10.8875,13.09
甘肃,14.0,12.15,5.372990858844893,6.66,7.592499999999999,10.765,15.712499999999999,21.76
福建,9.0,12.234444444444446,2.093305466905816,9.27,10.96,12.3,13.76,15.01
西藏,7.0,7.845714285714285,1.0544170133752764,6.14,7.13,8.26,8.66,8.94
贵州,9.0,9.445555555555556,2.183936303507448,6.74,8.37,8.96,10.01,14.02
辽宁,14.0,21.995714285714286,6.610726381926823,8.97,19.4125,21.740000000000002,24.2175,34.43
重庆,1.0,13.84,,13.84,13.84,13.84,13.84,13.84
陕西,10.0,16.844,7.978762365736236,7.81,10.8475,14.77,22.4025,29.86
青海,8.0,6.90125,3.074770316625292,4.04,4.692500000000001,5.085,10.0275,11.24
黑龙江,13.0,20.290000000000003,7.470740704017685,10.75,15.81,18.49,21.52,37.44
